Model,Horizon,MAE,RMSE,MAPE (%)
ARIMA,15min,1.7342,3.9618,3.63
ARIMA,30min,2.2722,5.2491,4.94
ARIMA,60min,3.0955,7.062,7.03
RandomForest,15min,1.5466,3.2392,3.33
RandomForest,30min,2.1344,4.6334,5.02
RandomForest,60min,2.9137,6.1077,7.32
LSTM,15min,2.52,4.8072,5.86
LSTM,30min,2.5534,4.8796,5.9
LSTM,60min,2.6835,5.123,6.17
STGCN,15min,2.0757,3.6364,4.45
STGCN,30min,2.3001,4.2183,5.13
STGCN,60min,2.592,4.9013,6.04
DCRNN,15min,1.4818,2.9561,3.18
DCRNN,30min,1.9462,4.0513,4.45
DCRNN,60min,2.4917,5.1366,5.96
